Columna,Tipo_Dato,Total_Valores,Valores_Nulos,Valores_Unicos,Top_Valor,Media,Minimo,Percentil_25,Mediana,Percentil_75,Maximo,Desviacion_Estandar
CONTRATO,str,426,0,324,15629,,,,,,,
FECHA_PEDIDO,datetime64[us],426,0,31,2026-01-02 00:00:00,,,,,,,
MOTIVO_PEDIDO,str,426,0,6,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,,,,,,,
PAQUETE_x,str,426,0,16,BASICO TV + INTERNET FIBRA 250MB ($399),,,,,,,
DETALLE_PEDIDO1,str,382,44,164,LOS ROJO,,,,,,,
DETALLE_PEDIDO2,str,164,262,55,JE FUERA DE LINEA REQUIERE VISITA,,,,,,,
FECHA_CUMPLIMIENTO,datetime64[us],426,0,35,2026-01-16 00:00:00,,,,,,,
COD_TECNICO,int64,426,0,18,1500039,1662086.5798122066,1500036.0,1500039.0,1500047.0,1500374.0,5555555.0,794712.1355628173
ESTATUS_x,str,426,0,5,ACTIVO,,,,,,,
ZONA,str,426,0,15,PEDREGAL,,,,,,,
MODEM(S)_x,str,412,14,314,XPONDD3FB5FF,,,,,,,
ESTATUS_y,str,410,16,3,AC,,,,,,,
PAQUETE_y,str,410,16,13,BASINTF250,,,,,,,
FECHA_INSTALACION,datetime64[us],410,16,277,2021-05-27 00:00:00,,,,,,,
DIAS_ANTIGUEDAD,float64,410,16,365,0.0,1797.2658536585366,-1.0,287.75,1538.5,3235.0,4432.0,1509.352988880151
DIAS_ATENCION,int64,426,0,14,1,1.8732394366197183,0.0,1.0,1.0,2.0,31.0,2.3828578637857944
RX_AVG,float64,415,11,314,-31.84725981800765,-26.003697273756806,-40.0,-28.25000913241998,-25.293621004566287,-22.868727250957832,-17.039969220246217,4.490736107932249
SERIAL_NUMBER,str,420,6,302,48575443AFAB421F,,,,,,,
ONT_MODEL,str,413,13,23,MN-CATV2,,,,,,,
SOFTWARE_VERSION,str,413,13,19,V1.7.1,,,,,,,
