CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
42537,2025-09-13,CAMBIO DE ACOMETIDA,INTERNET FIBRA 30MB,TEC SOLICITA,nan,2025-09-13,1500036,ACTIVO,PUNHUATO,485754430D968085,AC,INT30,,485754430D968085,,0,42537,-26.039288064165294
35164,2025-09-13,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 20MB,nan,GT.FUERA DE LINEA,2025-09-15,1500036,ACTIVO,MADERO,XPONDD41F5F3,AC,INT20,,XPONDD41F5F3,,2,35164,-27.564901666938027
29895,2025-09-13,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 20MB,TEC CAMBIA CONTRASEÑA,JV CONFIRMAR CON CC,2025-09-13,1500285,ACTIVO,VIRREY,XPONDD4C55A2,AC,INT20,,XPONDD4C55A2,,0,29895,-26.145973914011595
39503,2025-09-13,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 20MB,LOS ROJO,"GT.FUERA DE LINEA, REQUIERE VISITA",2025-09-15,1500039,ACTIVO,PEDREGAL,48575443ED65076F,AC,INT20,,48575443ED65076F,,2,39503,-25.72133290301727
29383,2025-09-13,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 10MB (NO VIGENTE),LOS ROJO,"GT.HA PRESENTADO DESCONEXIONES, REQ VISITA",2025-09-14,1500285,ACTIVO,PEDREGAL,XPONDD3F3E6F,AC,BASINT10,2016-02-12,XPONDD3F3E6F,3501.0,1,29383,-24.230718067131583
45517,2025-09-13,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),CABLE REVENTADO REPORTA TIT,nan,2025-09-13,1500285,ACTIVO,PRADOS VERDES,XPONAF5B50A9,AC,BASINTF250,2025-06-08,XPONAF5B50A9,97.0,0,45517,-21.264202660677313
45517,2025-09-13,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),CABLE REVENTADO REPORTA TIT,nan,2025-09-13,1500285,ACTIVO,PRADOS VERDES,XPONAF5B50A9,AC,BASINTF250,2025-06-08,XPONAF5B50A9,97.0,0,45517,-21.264202660677313
344156,2025-09-13,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,LOS ROJO,GT.CAIDA DE NIVEL,2025-09-14,1500285,ACTIVO,PEDREGAL,BTPTDD27130A,AC,BASINT30,,BTPTDD27130A,,1,344156,-23.63500284972501
45517,2025-09-13,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO DEL MODEM AL COSTO SOLICITA TEC ULISES,nan,2025-09-13,1500285,ACTIVO,PRADOS VERDES,XPONAF5B50A9,AC,BASINTF250,2025-06-08,XPONAF5B50A9,97.0,0,45517,-21.264202660677313
45517,2025-09-13,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO DEL MODEM AL COSTO SOLICITA TEC ULISES,nan,2025-09-13,1500285,ACTIVO,PRADOS VERDES,XPONAF5B50A9,AC,BASINTF250,2025-06-08,XPONAF5B50A9,97.0,0,45517,-21.264202660677313
27357,2025-09-13,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),FOCO ROJO,"GT.FUERA DE LINEA, REQUIERE VISITA",2025-09-15,1500036,ACTIVO,MADERO,XPONDD4396A3,AC,BASINTF250,2016-08-08,XPONDD4396A3,3323.0,2,27357,-21.85532436337861
20656,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO,"GT.FUERA DE LINEA, REQUIERE VISITA",2025-09-15,1500036,ACTIVO,PRADOS VERDES,BTPTDD1FFED2,AC,INT30,2018-03-09,BTPTDD1FFED2,2746.0,1,20656,-19.007749365342274
44588,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO || RICARDO ||,"GT.FUERA DE LINEA,REQUIERE VISITA",2025-09-17,5555555,ACTIVO,NINO ARTILLERO,XPONDD5CB36E,AC,INT30,,XPONDD5CB36E,,3,44588,-33.32997524509824
29314,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 10MB (NO VIGENTE),LOS ROJO,"GT.FUERA DE LINEA, REQUIERE VISITA",2025-09-15,1500285,ACTIVO,BELO,XPONDD52E9A4,AC,BASINT10,,XPONDD52E9A4,,1,29314,-25.674246199782196
45662,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),FUERA DE LINEA,"GT.NIVEL BAJO, REQUIERE VISITA",2025-09-15,1500036,ACTIVO,ATAPANEO,XPON1DE0044A,AC,BASINTF250,,XPON1DE0044A,,1,45662,-22.834052605282142
45593,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,GT.NIVEL BAJO,2025-09-15,1500039,CORTADO,PERIODISMO,HWTCAF3AC93A,CO,BASINTF250,,HWTCAF3AC93A,,1,45593,-34.56673186559921
335642,2025-09-14,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,AMBOS SERVICIOS,GT. HA PRESENTADO DESCONEXIONES,2025-09-16,1501274,CORTADO,VIRREY,XPONDD3F56E7,CO,BASINT30,,XPONDD3F56E7,,2,335642,-25.75451996672227
43415,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 20MB,SIN SEÑAL EN NINGUN SERVICIO,nan,2025-09-15,1500039,ACTIVO,PERIODISMO,XPONDD3F6147,AC,BASINT20,,XPONDD3F6147,,0,43415,-28.249734768195612
42537,2025-09-15,MALA INSTALACION (INTERNET),INTERNET FIBRA 30MB,CLIENTE COMENTA QUE DEJARON EL CABLE COLGADO.  Y ESTA EN PELIGRO DE SER DERRIBADO.,nan,2025-09-18,1500036,ACTIVO,PUNHUATO,485754430D968085,AC,INT30,,485754430D968085,,3,42537,-26.039288064165294
29700,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO,nan,2025-09-15,1500036,ACTIVO,MADERO,48575443D763DB9B,AC,INT30,2017-04-01,48575443D763DB9B,3089.0,0,29700,-24.921258988669184
31043,2025-09-15,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 10MB (NO VIGENTE),CABLE APAGADO,JE MANDO A CC,2025-09-18,1500285,ACTIVO,VIRREY,XPONDD7E93AE,AC,INT10,2017-02-05,XPONDD7E93AE,3144.0,3,31043,-28.310702541106384
343435,2025-09-15,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 50MB,TODOS EN VERDE SOLO EL FOQUITO DE LOS ESTA APAGADO,JE FUERA DE LINEA REQUIERE VISITA,2025-09-16,1501274,ACTIVO,PERIODISMO,XPONDD3FBB2F,AC,BASINT50,2023-05-08,XPONDD3FBB2F,861.0,1,343435,-26.882571095571606
