CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
899,2026-01-01,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 75MB,TECNICO DANIEL GLZ SOLICITA SIN COSTO TIT ENTERADO,,2026-01-04,1500374,ACTIVO,VIRREY,XPONDD52E584,AC,BASINT30,2016-05-24,XPONDD52E584,3509.0,3,,
345361,2026-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-03,1500039,ACTIVO,PERIODISMO,XPONDD45C22A,AC,INT20,2018-03-17,XPONDD45C22A,2847.0,2,345361,-28.25528985507236
15771,2026-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO AMBOS SERVICIOS,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD29AD80,AC,BASINT10,2015-06-06,XPONDD29AD80,3862.0,1,15771,-25.21748404012778
44296,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO CONTINUA SE CUMPLIO LA ORDEN ANTERIOR,JE MANDO A CC,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD45B84A,AC,INT20,2024-05-29,XPONDD45B84A,583.0,0,44296,-24.972209302325666
38764,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE MANDO A CC,2026-01-02,1500036,ACTIVO,PRADOS VERDES,HWTCAFAB5683,AC,BASINTF250,2025-12-19,HWTCAFAB5683,14.0,0,38764,-23.677432950191562
348203,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-03,1500036,ACTIVO,MADERO,OEMT3C1D269C,AC,BASINT30,2015-12-03,OEMT3C1D269C,3683.0,1,348203,-23.036700913242015
39011,2026-01-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,CLIENTE COMENTA QUE TUMBARON EL POSTE Y NO LE HA REGRESADO LA SEÑAL FOCO ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-02,1500046,ACTIVO,PEDREGAL,485754436A85679A,AC,INT20,2021-08-20,485754436A85679A,1596.0,0,39011,-26.82769493844048
11165,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,EDWIN Y BRAYAN,JE FUERA DE LINEA REQUIERE VISITA,2026-01-05,5555555,ACTIVO,MADERO,HWTCAF906535,AC,BASINT50,2014-10-13,HWTCAF906535,4099.0,3,11165,-21.512479452054794
44296,2026-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD45B84A,AC,INT20,2024-05-29,XPONDD45B84A,583.0,0,44296,-24.972209302325666
33279,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-02,1500036,ACTIVO,PRADOS VERDES,XPONDD37CCE4,AC,BASINT20,2018-01-27,XPONDD37CCE4,2897.0,0,33279,-21.250064655172388
17024,2026-01-02,CONFIGURAR WI-FI,BASICO TV + INTERNET FIBRA 250MB ($399),"CLIENTE COMENTA AL ESTAR EN UN VIDEO JUEGO AL CONECTARSE A LA RED LE APARECE UN NAP 3, PIDE LIBERAR PARA PODER JUGAR",EDWIN Y BRAYAN,2026-01-05,5555555,ACTIVO,MADERO,XPONDD919B5E,AC,BASINTF250,2017-09-28,XPONDD919B5E,3018.0,3,17024,-24.713844748858524
17024,2026-01-02,CONFIGURAR WI-FI,BASICO TV + INTERNET FIBRA 250MB ($399),"CLIENTE COMENTA AL ESTAR EN UN VIDEO JUEGO AL CONECTARSE A LA RED LE APARECE UN NAP 3, PIDE LIBERAR PARA PODER JUGAR",EDWIN Y BRAYAN,2026-01-05,5555555,ACTIVO,MADERO,XPONDD919B5E,AC,BASINTF250,2017-09-28,XPONDD919B5E,3018.0,3,17024,-24.713844748858524
39011,2026-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,TEC SOLICITA,,2026-01-02,1500046,ACTIVO,PEDREGAL,485754436A85679A,AC,INT20,2021-08-20,485754436A85679A,1596.0,0,39011,-26.82769493844048
28888,2026-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 45MB (NO VIGENTE),TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,,2026-01-02,1500046,ACTIVO,PEDREGAL,48575443D01A625B,AC,INT10,2020-10-13,48575443D01A625B,1907.0,0,28888,-33.74108299133607
29778,2026-01-02,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD4C7302,AC,BASINT10,2017-01-02,XPONDD4C7302,3287.0,0,29778,-27.573972868216963
28343,2026-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 45MB (NO VIGENTE),TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD5CA5B6,AC,INT10,2016-10-06,XPONDD5CA5B6,3375.0,0,28343,-37.079875740994105
17088,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,JE MANDO A CC,2026-01-02,1500046,ACTIVO,PEDREGAL,48352E11A560,AC,BASINT10,2015-08-13,48352E11A560,3795.0,0,17088,-27.055654354765082
22309,2026-01-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,,JE FUERA DE LINEA REQUIERE VISITA,2026-01-03,1501451,ACTIVO,PRADOS VERDES,48575443573A5771,AC,INT20,2016-01-15,48575443573A5771,3640.0,1,22309,-20.788735632183855
44449,2026-01-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,,JE MANDO A CC,2026-01-03,1501465,ACTIVO,PEDREGAL,485754436258316F,AC,INT20,2024-07-11,485754436258316F,540.0,1,44449,-24.796411308709608
16925,2026-01-02,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),CAMBIO DE ACOMENTIDA SIN COSTTO TIT ENTERADO PIDE JORGE,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD4C7AC2,AC,BASINTF250,2015-08-05,XPONDD4C7AC2,3803.0,0,16925,-23.92682854537167
34084,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,JE MANDO A CC,2026-01-03,1501451,ACTIVO,PERIODISMO,485754439A74C358,AC,INT30,2020-10-10,485754439A74C358,1910.0,1,34084,-24.563117191404274
