CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
344816,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,PON PARPADIANDO,nan,2026-02-22,1500039,ACTIVO,PEDREGAL,XPONDD4C5D4A,AC,INT20,,XPONDD4C5D4A,,1,344816,-23.587085224407495
45647,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE MANDO A CC,2026-02-22,1500039,ACTIVO,PEDREGAL,HWTCAF3AF2DA,AC,BASINTF250,2025-12-09,HWTCAF3AF2DA,74.0,1,45647,-23.518077407967752
44275,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,nan,JE NIVEL BAJO REQUIERE VISITA,2026-02-24,1500047,ACTIVO,PUNHUATO,XPONDD4C661A,AC,BASINT30,,XPONDD4C661A,,3,44275,-30.799078476482542
45402,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO TIT COMENTA QUE EL CABLE ESTRA TROZADO,JE FUERA DE LINEA REQUIERE VISITA,2026-02-24,1500039,ACTIVO,PEDREGAL,XPONDD5FF3D4,AC,INT20,,XPONDD5FF3D4,,3,45402,-26.853493589743586
2821,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-02-22,1500039,ACTIVO,PEDREGAL,485754430695749A,AC,INT30,2022-05-05,485754430695749A,1388.0,1,2821,-30.02278240040331
1241,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-22,1500039,ACTIVO,PERIODISMO,48575443B38C5B9A,AC,INT30,,48575443B38C5B9A,,1,1241,-25.819032833690272
44015,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,nan,"ER, SE MANDA CONFIRMAR",2026-02-23,1501409,ACTIVO,MADERO,XPONDD4C3E4A,AC,BASINT20,2024-10-02,XPONDD4C3E4A,507.0,2,44015,-22.979143939393868
27422,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,FUERA DE LINEA,nan,2026-02-22,1500039,ACTIVO,PEDREGAL,4857544351A0B39A,AC,BASINT20,2016-09-08,4857544351A0B39A,3453.0,1,27422,-25.43241301059006
18227,2026-02-21,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),SIN SEÑAL,"ER, SE MANDA CONFIRMAR",2026-02-24,1500047,ACTIVO,PRADOS VERDES,HWTC50026DE6,AC,BASINTF250,,HWTC50026DE6,,3,18227,-19.91734686064316
335998,2026-02-21,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),LEDS PARPADEANDO,nan,2026-02-22,1500039,ACTIVO,PEDREGAL,HWTCAFAB47FB,AC,BASINTF250,,HWTCAFAB47FB,,1,335998,-19.0910262228946
32546,2026-02-22,CAMBIO DE ACOMETIDA,INTERNET FIBRA 45MB (NO VIGENTE),TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO SOLICITA TEC DANIEL G,nan,2026-02-24,1500047,ACTIVO,PRADOS VERDES,XPONDD4C778A,AC,INT10,2017-04-11,XPONDD4C778A,3239.0,2,32546,-28.627718223583408
41446,2026-02-22,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,INTERMITENTE,"ER, SE MANDA CONFIRMAR",2026-02-24,1500047,ACTIVO,PUNHUATO,XPONDD33A1A4,AC,BASINT20,2022-08-09,XPONDD33A1A4,1293.0,2,41446,-24.633986451942775
