CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg,serial_number,ont_model,software_version,description
9056,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),CLIENTE COMENTA QUE SU MODEM HACE UN RUIDO Y LO REINICIA SEGUIDO,nan,2026-02-19,1500047,ACTIVO,MADERO,"485754439F83B4A1, C43DC75FDCBF",AC,BASINT10,,"485754439F83B4A1, C43DC75FDCBF",,2,9056,-26.3619201877934,4F50544941FCB675,MONUV142,V12.2.26,38796
21252,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),DOWSN TREAM PARPADIANDO,nan,2026-02-18,1500046,ACTIVO,PERIODISMO,CDTCAFA3E5A6,AC,BASINT10,,CDTCAFA3E5A6,,1,21252,-23.519791666666638,43445443AFA3E5A6,FD712GD-R850,V1.7.1,39250
2341,2026-02-17,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),TIT ACEPTA CAMBIO DE ACOMETIDA SIN COSTO TEC FERNANDO,nan,2026-02-17,1500374,ACTIVO,VIRREY,HWTC1DD89894,AC,BASINT10,2014-10-02,HWTC1DD89894,4156.0,0,2341,-22.298373511904913,485754431DD89894,CNA-ONU-4GE2WXCA,V1.7.1,46084
6508,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,nan,nan,2026-02-18,1500047,ACTIVO,MADERO,4857544371A5948B,AC,BASINT30,,4857544371A5948B,,1,6508,-32.22768308080807,4857544371A5948B,546M,V3R016C10S130,351880
31799,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,nan,2026-02-21,1500039,ACTIVO,PERIODISMO,HWTC1DD8807C,AC,INT10,2017-03-08,HWTC1DD8807C,3268.0,4,31799,-23.78420212765956,485754431DD8807C,CNA-ONU-4GE2WX,V1.7.1,42238
36311,2026-02-17,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,"CLIENTE ENTERADO SIN COSTO, PIDE DAVID",nan,2026-02-18,1500039,ACTIVO,PEDREGAL,XPONDD3FD417,AC,INT20,,XPONDD3FD417,,1,36311,-22.148357286938893,58504F4EDD3FD417,MN-WIFI2,V1.7.1,31349
46464,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),SE ENCUENTRA FUERA DE LINEA REQUIERE VISITA,nan,2026-02-18,1501399,ACTIVO,EL REALITO,HWTC50026C5A,AC,BASINTF250,,HWTC50026C5A,,1,46464,-22.450224528301888,58504F4EDD3FD417,MN-WIFI2,V1.7.1,36311
32868,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-18,1500046,ACTIVO,PERIODISMO,HWTCAFAA0AC1,AC,INT20,,HWTCAFAA0AC1,,1,32868,-23.855440340909112,48575443AFAA0AC1,CNA-ONU-4GE2WX,V1.7.1,nan
46450,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-18,1501177,ACTIVO,EL REALITO,HWTCAF912091,AC,BASINTF250,2026-10-02,HWTCAF912091,-227.0,1,46450,-27.999390723270437,48575443AF912091,MONUV411,V2.4.12,41910
46450,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-18,1501177,ACTIVO,EL REALITO,HWTCAF912091,AC,BASINTF250,2026-10-02,HWTCAF912091,-227.0,1,46450,-27.999390723270437,48575443AF912091,MONUV411,V2.4.12,nan
3347,2026-02-17,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,XPONDD5EB998,AC,INT20,,XPONDD5EB998,,2,3347,-24.003975731620287,58504F4EDD5EB998,MN-WIFI2,V1.7.1,46491
34864,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 45MB (NO VIGENTE),PON PARPADEA,nan,2026-02-19,1500374,ACTIVO,BELO,48575443576E1971,AC,INT10,2018-05-11,48575443576E1971,2840.0,1,34864,-27.84120456905504,48575443576E1971,HG8546M,V5R019C00S050,nan
33772,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,TIENE EL NIVEL BAJO REQUIERE VISITA,nan,2026-02-18,1500047,ACTIVO,MADERO,XPONDD4CE1F2,AC,INT20,,XPONDD4CE1F2,,0,33772,-27.698704744069914,58504F4EDD4CE1F2,MN-WIFI2,V1.7.1,21252
