CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION,PROBABILIDAD_RIESGO,PREDICCION_ABANDONO
40786,2026-03-23,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,REQUIERE VISITA,nan,2026-03-24,1500374,ACTIVO,VIRREY,XPONDD439C1B,AC,INT20,2022-11-05,1234.0,1.0,-19.987292817679524,485754437423904C,HG8546M,V5R019C00S050,0.076272234,0
31332,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,nan,"GT,OFFLINE",2026-03-24,1500374,ACTIVO,VIRREY,XPONDD3C3A70,AC,INT30,2026-02-03,48.0,1.0,-24.27378847413239,58504F4EDD3C3A70,MN-CATV2,V1.7.1,0.076272234,0
20207,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,nan,"ER, FUERA DE LINEA",2026-03-24,1500047,ACTIVO,PRADOS VERDES,XPONDD3031FE,AC,BASINT20,2015-02-12,4057.0,1.0,-24.979130123456777,58504F4EDD3031FE,MN-CATV2,V1.7.1,0.076272234,0
43822,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-26,1500039,ACTIVO,PEDREGAL,48575443D052735B,AC,INT30,,,3.0,-27.466397492625475,48575443D052735B,HG8546M,V5R019C00S050,0.076272234,0
44777,2026-03-23,EQUIPO DA?ADO,INTERNET FIBRA 60MB,TIT ENTERADO DE CAMBIO DE MODEM SIN COSTO SOLICITA TEC RICARDO,nan,2026-03-23,1501177,ACTIVO,NINO ARTILLERO,HWTC5002ACDA,AC,INT20,,,0.0,-20.67469764011801,485754435002ACDA,CNA-ONU-2GE2WXCA,V1.7.1,0.076272234,0
1100,2026-03-23,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,SEÑAL INTERMITENTE SOLCITE PASEN A SU DOMICILIO,"GT, HA PRESENTADO DESCONEXIONES",2026-03-25,1500374,ACTIVO,VIRREY,OEMT3C1D2594,AC,BASINT20,2014-08-01,4252.0,2.0,-20.786731123388606,58504F4EDD4C827A,MN-CATV2,V1.7.1,0.076272234,0
3683,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,EL SERVICIO SE VA CONSTANTEMENTE,"GT, HA PRESENTADO DESCONEXIONES",2026-03-26,1500374,ACTIVO,VIRREY,XPONDD2BD3CE,AC,BASINT20,2014-05-03,4342.0,3.0,-22.368196746470357,58504F4EDD2BD3CE,BT-213XR,V1.2.16SP,0.076272234,0
344919,2026-03-23,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,NO ATIENDE,"ER, PRESENTA DESCONEXIONES REQUIERE VISITA",2026-03-31,1500039,ACTIVO,PERIODISMO,XPONDD3E6D85,AC,INT30,,,8.0,-23.09840163934444,58504F4EDD3E6D85,MN-WIFI2,V1.7.1,0.076272234,0
46137,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-24,1500036,ACTIVO,PRADOS VERDES,XPONDD3E63F1,AC,INT20,2025-10-12,162.0,1.0,-35.488859259259165,58504F4EDD3E63F1,MN-CATV2,V1.7.1,0.076272234,0
37526,2026-03-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,LOS ROJO,"GT,OFFLINE",2026-03-25,1500374,ACTIVO,BELO,XPONDD3DA011,AC,INT50,,,2.0,-22.490638193421702,58504F4EDD3DA011,MN-CATV2,V1.7.1,0.076272234,0
