CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION
899,2026-01-01,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 75MB,TECNICO DANIEL GLZ SOLICITA SIN COSTO TIT ENTERADO,,2026-01-04,1500374,ACTIVO,VIRREY,XPONDD52E584,AC,BASINT30,2016-05-24,3509.0,3,,58504F4EDD52E584,MN-CATV2,V1.7.1
345361,2026-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-03,1500039,ACTIVO,PERIODISMO,XPONDD45C22A,AC,INT20,2018-03-17,2847.0,2,-28.25528985507236,58504F4EDD45C22A,MN-WIFI2,V1.7.1
15771,2026-01-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO AMBOS SERVICIOS,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD29AD80,AC,BASINT10,2015-06-06,3862.0,1,-25.21748404012778,58504F4EDD29AD80,BT-211XR,V1.2.11
44296,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO CONTINUA SE CUMPLIO LA ORDEN ANTERIOR,JE MANDO A CC,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD45B84A,AC,INT20,2024-05-29,583.0,0,-24.972209302325666,58504F4EDD45B84A,MN-WIFI2,V1.7.1
38764,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE MANDO A CC,2026-01-02,1500036,ACTIVO,PRADOS VERDES,HWTCAFAB5683,AC,BASINTF250,2025-12-19,14.0,0,-23.677432950191562,48575443AFAB5683,CNA-ONU-4GE2WXCA,V1.7.1
348203,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-03,1500036,ACTIVO,MADERO,OEMT3C1D269C,AC,BASINT30,2015-12-03,3683.0,1,-23.036700913242015,4F454D543C1D269C,DTXU-1GE+1FE+RFW,V6.2.25.RP
39011,2026-01-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,CLIENTE COMENTA QUE TUMBARON EL POSTE Y NO LE HA REGRESADO LA SEÑAL FOCO ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-02,1500046,ACTIVO,PEDREGAL,485754436A85679A,AC,INT20,2021-08-20,1596.0,0,-26.82769493844048,485754436A85679A,HG8546M,V3R017C10S125
11165,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,EDWIN Y BRAYAN,JE FUERA DE LINEA REQUIERE VISITA,2026-01-05,5555555,ACTIVO,MADERO,HWTCAF906535,AC,BASINT50,2014-10-13,4099.0,3,-21.512479452054794,48575443AF906535,MONUV411,V2.4.12
44296,2026-01-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,,2026-01-02,1500046,ACTIVO,PEDREGAL,XPONDD45B84A,AC,INT20,2024-05-29,583.0,0,-24.972209302325666,58504F4EDD45B84A,MN-WIFI2,V1.7.1
33279,2026-01-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-01-02,1500036,ACTIVO,PRADOS VERDES,XPONDD37CCE4,AC,BASINT20,2018-01-27,2897.0,0,-21.250064655172388,58504F4EDD37CCE4,MN-CATV2,V1.7.1
