CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION
347865,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-10,1500047,ACTIVO,PRADOS VERDES,HWTCAFAA181D,AC,INT30,2026-09-02,-205.0,1,-21.194655677655664,48575443AFAA181D,CNA-ONU-4GE2WX,V1.7.1
46482,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-11,1500047,ACTIVO,PRADOS VERDES,HWTC1DD89384,AC,BASINTF250,2026-09-02,-204.0,1,-21.597821927888166,485754431DD89384,CNA-ONU-4GE2WXCA,V1.7.1
31573,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-11,1500047,ACTIVO,MADERO,XPONDD52FC2C,AC,INT20,2026-09-02,-204.0,1,-20.51160856935369,58504F4EDD52FC2C,MN-WIFI2,V1.7.1
40180,2026-02-10,EQUIPO DA?ADO,INTERNET FIBRA 75MB,CLIENTE ENTERADO CAMBIO DE EQUIPO SIN COSTO DANIEL,nan,2026-02-10,1500047,ACTIVO,MADERO,XPONDD4CE262,AC,INT30,2022-09-02,1257.0,0,-21.196944444444444,58504F4EDD4CE262,MN-WIFI2,V1.7.1
343955,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,nan,nan,2026-02-12,1500374,ACTIVO,VIRREY,XPONDD52DC74,AC,INT50,2014-09-04,4177.0,2,-22.957479166666715,58504F4EDD52DC74,MN-CATV2,V1.7.1
46457,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-11,1500039,ACTIVO,PERIODISMO,CDTCAFA3E55E,AC,BASINTF250,2026-09-02,-204.0,1,-28.51889728096666,43445443AFA3E55E,FD712GD-R850,V1.7.1
12136,2026-02-10,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,FOCO ROJO,nan,2026-02-10,1500039,ACTIVO,PEDREGAL,XPONDD41E8A3,AC,INT30,2024-05-12,639.0,0,-23.159430156328895,58504F4EDD41E8A3,MN-WIFI2,V1.7.1
345052,2026-02-10,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 75MB,PIDE VISITA POR FALLAS CONSTANTES,nan,2026-02-11,1500039,ACTIVO,PEDREGAL,XPONDD35416A,AC,BASINT30,,,1,-22.809220877458355,58504F4EDD35416A,MN-CATV2,V1.7.1
7975,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),FUERA DE LINEA,nan,2026-02-13,1500039,ACTIVO,PEDREGAL,XPONDD6F09B3,AC,BASINT10,,,3,-30.687767271810376,58504F4EDD6F09B3,MN-CATV2,V1R007C00S001
43401,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,MODEM APAGADO,nan,2026-02-11,1500047,ACTIVO,MADERO,4857544374B2894C,AC,INT50,,,1,-23.068452020201956,4857544374B2894C,HG8546M,V5R019C00S050
28430,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO AMBOS SERVICIO,nan,2026-02-11,1500039,ACTIVO,PERIODISMO,XPONDD353EC2,AC,BASINT20,2016-09-10,3440.0,1,-24.075226623840088,58504F4EDD353EC2,MN-CATV2,V1.7.1
42026,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,nan,nan,2026-02-11,1500047,ACTIVO,PRADOS VERDES,XPONDD396A94,AC,BASINT20,2022-12-12,1156.0,1,-20.803388208269517,58504F4EDD396A94,MN-CATV2,V1.7.1
